Course_Name,Course_Number,Dept_Code,Description,Notes,NumberOfCredits,SemesterOffered,prereq,CrossListed
"  Work Analysis and Design ",4444,MENG," Methods used in determining the most effective utilization of effort in human activity systems; work methods, analysis and design; micro motion analysis; predetermined time systems; human and rating factors; work samplings; learning curves; physiological and psychological factors; computer-aided time study.",NULL,3," Offered in fall and spring.","MENG 3209",NULL
"  Comparative Politics of Latin America ",4444,POLS," This course introduces students to the fundamentals of political systems in Latin America. As the most unequal region of the world it has been home to a number of important political phenomena, including military coups, democratic transitions, and popular uprisings. In line with the comparative nature of the course, students will be looking at different countries in the region, as well as cross-regional comparisons.",NULL,3,NULL,NULL,NULL
"  Production and Inventory Control ",4445,MENG," Basic concepts of production management ; forecasting; break-even analysis, aggregate production planning; inventory management; master scheduling, materials requirement planning; capacity planning; resource allocation and scheduling.",NULL,3," Offered in fall and spring.","ENGR 3202",NULL
"  Facilities Planning ",4448,MENG," Process analysis; operation analysis, job design; facility location; facility layout; materials handling systems; storage and warehousing; office layout; design principles and analytical solution procedures; computerized approaches.",NULL,3," Offered occasionally.",NULL,NULL
"  Maintenance Management Systems ",4449,MENG," Maintenance Systems performance measures, types of equipment, scheduled, preventive, and predictive maintenance, work orders, planning, scheduling and control of maintenance operations, equipment safety and reliability, life cycle costing and replacement, spare parts inventory management and cost of maintenance.",NULL,3," Offered occasionally.","ENGR 3222",NULL
"  Design, Modeling and Simulation of Construction Systems ",4450,CENG," Building Information Modeling, Computer modeling of construction processes, 4D Simulation of construction operations, Productivity modeling, measuring and forecasting, Sequencing and coordination of construction systems, Post-Optimality Analysis of Integer and Linear Programming Models in construction, discrete event simulation of construction processes.",NULL,3,NULL,"CENG 4252",NULL
"  Financial Management and Accounting for Construction ",4460,CENG," Basic accounting terminology, accounting cycle and process, financial statements and analysis, unique aspects of accounting for the construction industry methods of revenue recognition for construction, percentage of completion computations, unbalanced items in construction: costs in excess and billings in excess.",NULL,3," Offered in fall and spring.","CENG 4420",NULL
"  Audio Production ",4460,JRMC," Studio experience in Audio production.",NULL,3,NULL,"JRMC 2202",NULL
"  Contract Administration ",4470,CENG," Construction project parties’ responsibilities pursuant to Civil Code and the Law of Tenders and Auctions (No. 89/1998), tendering procedures, contract negotiation and drafting, document control, international form of contracts (FIDIC), management of the variation process, Claims preparation and evaluation, disputes resolution methods.",NULL,3," Offered occasionally.","CENG 4420",NULL
"  The Politics of Human Rights ",4470,POLS," This is a research-oriented class on the politics of human rights in comparative perspective with special reference to issues in Egypt and the Middle East.",NULL,3," Offered occasionally.",NULL,NULL
"  Online Journalism ",4471,JRMC," Examination of the emerging forms of information delivery by computer and related convergence of print and broadcast media. Emphasis on learning multi-media reporting skills needed to publish quality work on the Internet.",NULL,3,NULL,"JRMC 2202",NULL
"  Manufacturing System Automation ",4477,MENG," Computer assisted manufacturing systems NC, CNC, DNC, robotics, material handling, group technology, flexible manufacturing systems, process planning and control.",NULL,3," Offered occasionally.","MENG 3209",NULL
